지점,지점명,일시,기온(°C),습도(%),지면온도(°C)
108,서울,2023-03-01 01:00,6.1,68,3.6
108,서울,2023-03-01 02:00,6.2,69,3.5
108,서울,2023-03-01 03:00,6,70,3
108,서울,2023-03-01 04:00,5.8,70,3.2
108,서울,2023-03-01 05:00,5.7,69,3.3
108,서울,2023-03-01 06:00,5.7,70,3.2
108,서울,2023-03-01 07:00,5.6,74,3
108,서울,2023-03-01 08:00,5.4,76,3.7
108,서울,2023-03-01 09:00,5.7,75,5.4
108,서울,2023-03-01 10:00,6.2,71,7.4
108,서울,2023-03-01 11:00,6.6,67,8.2
108,서울,2023-03-01 12:00,7.1,67,9.2
108,서울,2023-03-01 13:00,7.8,58,11.5
108,서울,2023-03-01 14:00,8.5,52,11.4
108,서울,2023-03-01 15:00,8.6,46,11.5
108,서울,2023-03-01 16:00,9,30,11.9
108,서울,2023-03-01 17:00,8.3,29,6.3
108,서울,2023-03-01 18:00,7.4,29,3.4
108,서울,2023-03-01 19:00,6.1,32,1.6
108,서울,2023-03-01 20:00,5.2,35,.6
108,서울,2023-03-01 21:00,4.6,35,-.1
108,서울,2023-03-01 22:00,3.9,39,-.6
108,서울,2023-03-01 23:00,3.3,41,-1.1
108,서울,2023-03-02 00:00,2.9,43,-.2
108,서울,2023-03-02 01:00,2.1,45,-.4
108,서울,2023-03-02 02:00,1.6,38,-.8
108,서울,2023-03-02 03:00,.9,36,-1.2
108,서울,2023-03-02 04:00,.1,35,-1.5
108,서울,2023-03-02 05:00,-.3,34,-1.7
108,서울,2023-03-02 06:00,-.8,38,-1.9
108,서울,2023-03-02 07:00,-1.3,39,-2.2
108,서울,2023-03-02 08:00,-1.4,39,-1.7
108,서울,2023-03-02 09:00,.5,33,.4
108,서울,2023-03-02 10:00,2,30,3.7
108,서울,2023-03-02 11:00,3,27,9.9
108,서울,2023-03-02 12:00,4.3,25,15.4
108,서울,2023-03-02 13:00,5.6,24,17.3
108,서울,2023-03-02 14:00,6,25,17.1
108,서울,2023-03-02 15:00,6.1,24,15.5
108,서울,2023-03-02 16:00,6.4,26,12.4
108,서울,2023-03-02 17:00,5.5,31,6
108,서울,2023-03-02 18:00,4,37,2.5
108,서울,2023-03-02 19:00,2.7,46,.5
108,서울,2023-03-02 20:00,2.1,49,-.5
108,서울,2023-03-02 21:00,1.9,57,.1
